Empty first line.
4, 23:39:41.803
2, 23:39:42.420
4, 23:42:39.671
2, 23:42:40.284
4, 23:53:15.971
2, 23:53:16.585
4, 00:01:35.028
2, 00:01:35.642
4, 00:12:59.492
2, 00:13:00.108
4, 00:17:59.707
2, 00:18:00.321
0, 00:36:41.788
4, 00:36:44.020
2, 00:36:44.531
1, 00:36:44.816
0, 00:36:45.021
0, 00:36:46.109
4, 00:36:46.501
4, 00:36:47.353
3, 00:36:47.479
0, 00:36:47.680
0, 00:36:48.963
4, 00:36:49.613
0, 00:53:43.254
4, 00:53:45.488
2, 00:53:46.000
1, 00:53:46.282
0, 00:53:46.487
0, 00:53:47.576
4, 00:53:47.970
4, 00:53:48.822
3, 00:53:48.947
0, 00:53:49.147
0, 00:53:50.431
4, 00:53:51.082
0, 00:56:52.550
4, 00:56:54.777
2, 00:56:55.293
1, 00:56:55.578
0, 00:56:55.782
0, 00:56:56.870
4, 00:56:57.259
4, 00:56:58.111
3, 00:56:58.240
0, 00:56:58.441
0, 00:56:59.724
4, 00:57:00.371
0, 01:04:14.016
4, 01:04:16.249
2, 01:04:16.763
1, 01:04:17.045
0, 01:04:17.249
0, 01:04:18.338
4, 01:04:18.731
4, 01:04:19.583
3, 01:04:19.709
0, 01:04:19.909
0, 01:04:21.192
0, 01:06:00.585
4, 01:06:02.817
2, 01:06:03.329
1, 01:06:03.614
0, 01:06:03.817
0, 01:06:04.905
4, 01:06:05.298
4, 01:06:06.151
3, 01:06:06.277
0, 01:06:06.476
0, 01:06:07.760
0, 01:07:13.853
4, 01:07:16.085
2, 01:07:16.596
1, 01:07:16.883
0, 01:07:17.088
0, 01:07:18.176
4, 01:07:18.566
4, 01:07:19.418
3, 01:07:19.547
0, 01:07:19.747
0, 01:07:21.030
4, 01:07:22.179
0, 01:09:15.593
4, 01:09:17.829
2, 01:09:18.339
1, 01:09:18.623
0, 01:09:18.827
0, 01:09:19.915
4, 01:09:20.310
4, 01:09:21.163
3, 01:09:21.290
0, 01:09:21.485
0, 01:09:22.769
4, 01:09:23.423
0, 01:33:53.166
4, 01:33:55.397
2, 01:33:55.906
1, 01:33:56.192
0, 01:33:56.400
0, 01:33:57.488
4, 01:33:57.878
4, 01:33:58.731
3, 01:33:58.857
0, 01:33:59.059
0, 01:34:00.342
4, 01:34:00.991
0, 01:35:33.407
4, 01:35:35.641
2, 01:35:36.154
1, 01:35:36.437
0, 01:37:33.637
4, 01:37:35.874
2, 01:37:36.383
1, 01:37:36.667
0, 01:37:36.870
0, 01:37:37.958
4, 01:37:38.356
4, 01:37:39.208
3, 01:37:39.336
0, 01:37:39.528
0, 01:37:40.812
4, 01:37:41.468
0, 01:46:29.850
4, 01:46:32.082
2, 01:46:32.592
1, 01:46:32.880
0, 01:46:33.084
0, 01:46:34.172
4, 01:46:34.564
4, 01:46:35.416
3, 01:46:35.543
0, 01:46:35.743
0, 01:46:37.027
4, 01:46:37.677
0, 01:47:54.528
4, 01:47:56.756
2, 01:47:57.270
1, 01:47:57.553
0, 01:47:57.760
0, 01:47:58.848
4, 01:47:59.237
4, 01:48:00.090
3, 01:48:00.220
0, 01:48:00.418
0, 01:48:01.702
4, 01:48:02.350
0, 01:54:30.190
4, 01:54:32.421
2, 01:54:32.935
1, 01:54:33.218
0, 01:54:33.422
0, 01:54:34.510
4, 01:54:34.902
4, 01:54:35.755
3, 01:54:35.884
0, 01:54:36.080
0, 01:54:37.364
4, 01:54:38.015
0, 01:58:14.662
4, 01:58:16.894
2, 01:58:17.407
1, 01:58:17.690
0, 01:58:17.894
0, 01:58:18.982
4, 01:58:19.376
4, 01:58:20.228
3, 01:58:20.355
0, 01:58:20.552
0, 01:58:21.837
4, 01:58:22.489
0, 01:58:45.906
4, 01:58:48.138
2, 01:58:48.650
1, 01:58:48.935
0, 01:58:49.138
0, 01:58:50.225
4, 01:58:50.619
4, 01:58:51.472
3, 01:58:51.601
0, 01:58:51.796
0, 01:58:53.079
4, 01:58:53.731
0, 02:06:55.219
4, 02:06:57.452
2, 02:06:57.962
1, 02:06:58.245
0, 02:06:58.451
0, 02:06:59.539
4, 02:06:59.933
4, 02:07:00.786
3, 02:07:00.911
